title,description,category,priority,resolution,text,predicted,confidence
Intermittent packet loss on main server uplink,"Hey, heads up—we’re seeing about 15% packet loss on the SFP+ uplink between the server rack and the distribution switch. It looks like it started right after that fiber patch cable got moved during the site audit. The latency spikes are causing SQL timeouts, so we might need to take a look at that connection.",Network,Critical,Replaced the damaged OM4 fiber patch cable which showed high insertion loss during testing.,"Intermittent packet loss on main server uplink. Hey, heads up—we’re seeing about 15% packet loss on the SFP+ uplink between the server rack and the distribution switch. It looks like it started right after that fiber patch cable got moved during the site audit. The latency spikes are causing SQL timeouts, so we might need to take a look at that connection.",Infrastructure,0.49565428
Account locked again!,"I am writing to formally report a recurring technical issue regarding my user account, which has experienced unauthorized lockouts on three separate occasions this week. These incidents have repeatedly interrupted critical client meetings and significantly hindered my professional productivity. I request an immediate investigation into the root cause of these lockouts and a permanent resolution to ensure consistent system access moving forward.",Access Management,Critical,Identified an old iPad still trying to sync email with an expired password; removed the device from the ActiveSync list.,"Account locked again!. I am writing to formally report a recurring technical issue regarding my user account, which has experienced unauthorized lockouts on three separate occasions this week. These incidents have repeatedly interrupted critical client meetings and significantly hindered my professional productivity. I request an immediate investigation into the root cause of these lockouts and a permanent resolution to ensure consistent system access moving forward.",Security,0.5854814
Adobe Acrobat PDF printing issue,"When I print PDFs from Acrobat DC, the images come out completely black. I have to print them as images to get them to look right, but that takes forever. Windows 11 system.",Application,Low,Updated the printer driver to the latest PCL6 version and disabled the 'Print as Image' setting by default.,"Adobe Acrobat PDF printing issue. When I print PDFs from Acrobat DC, the images come out completely black. I have to print them as images to get them to look right, but that takes forever. Windows 11 system.",Infrastructure,0.3720952
Production server firewall failure,"Hi team, just a heads up that the production environment is completely inaccessible to all remote workers. Not a huge deal, but if someone could investigate when they finish their coffee, that would be great.",Application,Critical,Updated firewall security rules to allow traffic from the VPN subnet.,"Production server firewall failure. Hi team, just a heads up that the production environment is completely inaccessible to all remote workers. Not a huge deal, but if someone could investigate when they finish their coffee, that would be great.",Infrastructure,0.37817043
OneDrive sync conflict,I have multiple files stuck in a sync conflict loop in OneDrive for Business. It's creating duplicate copies of my project files every time I save. My laptop is running out of space.,Application,Medium,Unlinked and relinked the OneDrive account to force a fresh sync of the metadata files.,OneDrive sync conflict. I have multiple files stuck in a sync conflict loop in OneDrive for Business. It's creating duplicate copies of my project files every time I save. My laptop is running out of space.,Storage,0.75867754
Slow upload speeds,"I'm trying to upload a 2GB video file to the marketing folder, but it's crawling at 50kbps. Usually, it’s much faster. Is there a maintenance task running on the network?",Network,Low,Cleared the queue on the local traffic shaper that was prioritizing VOIP traffic over file transfers.,"Slow upload speeds. I'm trying to upload a 2GB video file to the marketing folder, but it's crawling at 50kbps. Usually, it’s much faster. Is there a maintenance task running on the network?",Storage,0.3692574
VPN gateway timeout,"Hey, is the VPN down? I’m having trouble getting onto the network—Cisco AnyConnect on my Mac just keeps timing out with a 404 error. Any ideas?",Infrastructure,Medium,Reset the VPN authentication service on the perimeter firewall.,"VPN gateway timeout. Hey, is the VPN down? I’m having trouble getting onto the network—Cisco AnyConnect on my Mac just keeps timing out with a 404 error. Any ideas?",Network,0.4858297
Intermittent packet loss on VLAN 20,I'm seeing sporadic packet loss on the production VLAN 20. Traceroute shows delays at the distribution layer hop. It's affecting all VM hosts attached to Host-Cluster-A.,Infrastructure,High,Identified a spanning-tree topology change loop caused by a misconfigured secondary switch; corrected STP priority settings.,Intermittent packet loss on VLAN 20. I'm seeing sporadic packet loss on the production VLAN 20. Traceroute shows delays at the distribution layer hop. It's affecting all VM hosts attached to Host-Cluster-A.,Network,0.468757
MFA prompt not appearing,"I am writing to formally report an ongoing technical issue regarding the ERP system authentication process. Despite maintaining a stable network connection and ensuring that the Duo mobile application is updated to the latest available version, I am failing to receive the required push notifications necessary to complete the login procedure. This persistent failure in the authentication workflow is preventing me from accessing the system and is effectively obstructing my ability to perform my professional responsibilities for the day. I request an immediate investigation into this matter to restore my access.",Security,Medium,Resynchronized the user's Duo token in the admin dashboard and cleared the local cache on the mobile device.,"MFA prompt not appearing. I am writing to formally report an ongoing technical issue regarding the ERP system authentication process. Despite maintaining a stable network connection and ensuring that the Duo mobile application is updated to the latest available version, I am failing to receive the required push notifications necessary to complete the login procedure. This persistent failure in the authentication workflow is preventing me from accessing the system and is effectively obstructing my ability to perform my professional responsibilities for the day. I request an immediate investigation into this matter to restore my access.",Access Management,0.4460454
SSL Certificate Expiration,Our load balancer LB-PROD-EXT is showing an expiration warning for the wildcard certificate. It expires in 3 days. We need to replace this immediately.,Infrastructure,Critical,Renewed SSL certificate via DigiCert and deployed the new PFX file to the load balancer.,SSL Certificate Expiration. Our load balancer LB-PROD-EXT is showing an expiration warning for the wildcard certificate. It expires in 3 days. We need to replace this immediately.,Security,0.28720272
Account locked out again,"My account keeps getting locked out every hour. I'm using a Dell Latitude 5420 on Windows 11. I haven't changed my password, and I'm not running any scheduled tasks that I know of. This is very frustrating as I have a deadline.",Access Management,High,Identified a stale credential in Windows Credential Manager linked to a disconnected network drive mapped to an old server.,"Account locked out again. My account keeps getting locked out every hour. I'm using a Dell Latitude 5420 on Windows 11. I haven't changed my password, and I'm not running any scheduled tasks that I know of. This is very frustrating as I have a deadline.",Security,0.5199268
Latency spikes during high-traffic periods,System performance degrades significantly every Monday morning during the weekly backup sync. Operations team cannot determine if it is a bandwidth or disk throughput issue.,Storage,Medium,Reconfigured storage array caching policies to prevent IOPS saturation during high-load backup windows.,Latency spikes during high-traffic periods. System performance degrades significantly every Monday morning during the weekly backup sync. Operations team cannot determine if it is a bandwidth or disk throughput issue.,Infrastructure,0.33874497
Internal Portal 403 Forbidden error,I cannot access the HR portal. I am getting a 403 Forbidden error every time I navigate to the benefits page. I have already tried logging out and back in.,Application,Medium,Updated user permissions in Active Directory to reflect the new department security group.,Internal Portal 403 Forbidden error. I cannot access the HR portal. I am getting a 403 Forbidden error every time I navigate to the benefits page. I have already tried logging out and back in.,Access Management,0.7138224
System Access Denied,I'm getting an 'Access Denied: 0x80070005' when trying to run the proprietary inventory software on my Dell Latitude laptop. This has been happening since the last Windows Update.,Access Management,Medium,Corrected file system permissions on the application installation directory.,System Access Denied. I'm getting an 'Access Denied: 0x80070005' when trying to run the proprietary inventory software on my Dell Latitude laptop. This has been happening since the last Windows Update.,Security,0.63754076
Data breach detected,"Excuse me, but I believe unauthorized users are currently exporting our client financial records. Whenever you have a chance to peek at the server logs, I'd appreciate it. Thanks!",Application,Critical,Terminated unauthorized sessions and forced a global password reset for administrative accounts.,"Data breach detected. Excuse me, but I believe unauthorized users are currently exporting our client financial records. Whenever you have a chance to peek at the server logs, I'd appreciate it. Thanks!",Security,0.3708558
VPN access is busted again,"Hey, I'm trying to connect to the office VPN using the Cisco AnyConnect client on Windows 11, but it keeps throwing error 442. I've restarted my laptop twice and checked my home Wi-Fi, but nothing works. Please fix this, I have a deadline.",Infrastructure,Medium,Updated the Cisco AnyConnect client to the latest version and re-registered the virtual miniport adapter.,"VPN access is busted again. Hey, I'm trying to connect to the office VPN using the Cisco AnyConnect client on Windows 11, but it keeps throwing error 442. I've restarted my laptop twice and checked my home Wi-Fi, but nothing works. Please fix this, I have a deadline.",Network,0.28922018
Intermittent packet loss on Site-to-Site VPN,Our remote office in Austin is reporting heavy packet loss (approx 15%) when accessing internal file shares. Traceroute shows high latency specifically at the hop involving the FortiGate 100F gateway at our primary DC. Firmware is currently at v7.0.5.,Infrastructure,High,Identified MTU mismatch on the tunnel interface; adjusted MTU size to 1400 bytes to prevent fragmentation.,Intermittent packet loss on Site-to-Site VPN. Our remote office in Austin is reporting heavy packet loss (approx 15%) when accessing internal file shares. Traceroute shows high latency specifically at the hop involving the FortiGate 100F gateway at our primary DC. Firmware is currently at v7.0.5.,Network,0.56344944
Can't connect to Mongo cluster,Getting 'ServerSelectionTimeoutError' when trying to hit the MongoDB Atlas cluster from my laptop. I'm on the office VPN. Is the IP whitelisted?,Database,Medium,Added the current office subnet CIDR range to the MongoDB Atlas IP Access List.,Can't connect to Mongo cluster. Getting 'ServerSelectionTimeoutError' when trying to hit the MongoDB Atlas cluster from my laptop. I'm on the office VPN. Is the IP whitelisted?,Network,0.30060247
Cannot access internal server - 403 Forbidden,I'm getting a 403 Forbidden error when trying to access the dev-web-01 internal server on our intranet. I was able to reach it fine yesterday. My permissions haven't changed.,Security,Medium,Identified that the user's AD group membership was not propagating to the server's ACL due to a replication lag; forced an update of the security token.,Cannot access internal server - 403 Forbidden. I'm getting a 403 Forbidden error when trying to access the dev-web-01 internal server on our intranet. I was able to reach it fine yesterday. My permissions haven't changed.,Access Management,0.36962655
Lost connection to the SAN,Hosts 01 through 04 just dropped their iSCSI connections. We are seeing 'Device Path Degraded' errors in vCenter. Everything is currently offline.,Infrastructure,Critical,Rebooted the secondary storage controller which had hung due to a firmware memory leak.,Lost connection to the SAN. Hosts 01 through 04 just dropped their iSCSI connections. We are seeing 'Device Path Degraded' errors in vCenter. Everything is currently offline.,Storage,0.42346355
SQL Server Management Studio connection timeout,"I'm attempting to connect to the staging database via SSMS 19.1, but I am receiving a 'Connection Timeout Expired' error. The network team confirmed the VPN is active, and I can ping the server IP successfully. Could you check if my credentials have expired in the Active Directory group?",Application,Critical,Reset the user's domain password which had reached the mandatory 90-day expiration threshold.,"SQL Server Management Studio connection timeout. I'm attempting to connect to the staging database via SSMS 19.1, but I am receiving a 'Connection Timeout Expired' error. The network team confirmed the VPN is active, and I can ping the server IP successfully. Could you check if my credentials have expired in the Active Directory group?",Access Management,0.2880129
Fiber link degradation,Monitoring tools are alerting on high latency between the main office and the remote branch. The link is showing intermittent packet loss around 5%.,Infrastructure,High,Identified a bent fiber patch cord at the cross-connect panel and replaced it with a new OM4 LC-LC cable.,Fiber link degradation. Monitoring tools are alerting on high latency between the main office and the remote branch. The link is showing intermittent packet loss around 5%.,Network,0.4583223
Permission denied on file share,"Every time I try to save a document to the department share (\fileserverinance), I get a 'Permission Denied' error. I am logged in as jdoe and I've been able to access this folder for years. Did something change with the AD groups?",Storage,Medium,Updated the user's Active Directory security token to reflect recent changes in the Finance-ReadOnly group membership.,"Permission denied on file share. Every time I try to save a document to the department share (\fileserverinance), I get a 'Permission Denied' error. I am logged in as jdoe and I've been able to access this folder for years. Did something change with the AD groups?",Access Management,0.47356644
Adobe CC License failure,"Whenever I launch Photoshop, it tells me I don't have a valid subscription. I'm signed in with my work email, but it keeps redirecting me to the 'Start Trial' page. Is there an issue with the license pool?",Access Management,Medium,Assigned an available seat from the Adobe Admin Console to the user's email address.,"Adobe CC License failure. Whenever I launch Photoshop, it tells me I don't have a valid subscription. I'm signed in with my work email, but it keeps redirecting me to the 'Start Trial' page. Is there an issue with the license pool?",Application,0.43012136
Data synchronization failures,Remote branch offices are failing to sync with central SQL server. Could be a VPN tunnel issue or DB lock contention.,Network,High,Increased MTU size settings on the VPN tunnel to prevent packet fragmentation.,Data synchronization failures. Remote branch offices are failing to sync with central SQL server. Could be a VPN tunnel issue or DB lock contention.,Database,0.3811664
Salesforce login loop,"My Salesforce instance keeps redirecting me back to the login page after I enter my MFA code. I've tried clearing my Chrome cache and cookies, but the issue persists. Using macOS Sonoma 14.2.",Application,Medium,Detected an expired session token in the user's browser profile; cleared site data specifically for the Salesforce domain.,"Salesforce login loop. My Salesforce instance keeps redirecting me back to the login page after I enter my MFA code. I've tried clearing my Chrome cache and cookies, but the issue persists. Using macOS Sonoma 14.2.",Access Management,0.4099686
Application 'Connection Refused' error,"The application cannot reach the database server. Testing shows the server is up, but the port is unreachable from the app tier.",Network,Critical,Updated firewall rules that were inadvertently flushed during a security appliance patch.,"Application 'Connection Refused' error. The application cannot reach the database server. Testing shows the server is up, but the port is unreachable from the app tier.",Database,0.6272733
Teams file upload error,Unable to upload any files to the team channel. Getting an error code 403 Forbidden. Using Microsoft Teams version 24004.1309.,Application,Medium,Cleared the Teams cache files and re-authenticated the user's session.,Teams file upload error. Unable to upload any files to the team channel. Getting an error code 403 Forbidden. Using Microsoft Teams version 24004.1309.,Access Management,0.30568692
Intermittent packet loss on main server uplink,We are seeing 15% packet loss on the SFP+ uplink between the server rack and the distribution switch. It started after the fiber patch cable was moved during the site audit. Latency spikes are causing SQL timeouts.,Network,Critical,Replaced the damaged OM4 fiber patch cable which showed high insertion loss during testing.,Intermittent packet loss on main server uplink. We are seeing 15% packet loss on the SFP+ uplink between the server rack and the distribution switch. It started after the fiber patch cable was moved during the site audit. Latency spikes are causing SQL timeouts.,Infrastructure,0.5125403
Critical latency on main uplink,We are seeing huge latency spikes across the entire office network. Ping times to the gateway are jumping from 2ms to 400ms sporadically. This is affecting everyone.,Network,Critical,Identified a broadcast storm caused by a loop on an unmanaged switch; physically disconnected the loop.,Critical latency on main uplink. We are seeing huge latency spikes across the entire office network. Ping times to the gateway are jumping from 2ms to 400ms sporadically. This is affecting everyone.,Infrastructure,0.50620735
Cannot access shared drive,Getting an error message when trying to access the \\FileServer01\Marketing drive. It says 'Network path not found' (Error 0x80070035). Running Windows 10 Pro.,Network,High,Flushed DNS cache and re-mapped the network drive using the server's static IP address instead of the hostname.,Cannot access shared drive. Getting an error message when trying to access the \\FileServer01\Marketing drive. It says 'Network path not found' (Error 0x80070035). Running Windows 10 Pro.,Storage,0.37058958
Intermittent file access timeouts,Users are reporting sporadic 30-second delays when opening files from the shared network drive. The issue seems to impact different departments at random intervals.,Infrastructure,High,Upgraded core network switches to resolve intermittent packet loss causing SMB session timeouts.,Intermittent file access timeouts. Users are reporting sporadic 30-second delays when opening files from the shared network drive. The issue seems to impact different departments at random intervals.,Network,0.35752216
System Access Denied,I can't even get our proprietary inventory software to open on my Dell Latitude because of this constant Access Denied: 0x80070005 error. It was working perfectly fine until the latest Windows Update broke everything. I need this fixed immediately so I can actually do my job.,Access Management,Medium,Corrected file system permissions on the application installation directory.,System Access Denied. I can't even get our proprietary inventory software to open on my Dell Latitude because of this constant Access Denied: 0x80070005 error. It was working perfectly fine until the latest Windows Update broke everything. I need this fixed immediately so I can actually do my job.,Security,0.6547164
