title,description,category,priority,resolution
Local storage full on design workstation,"My drive is full again! I keep getting low disk space warnings on my MacBook Pro. I already deleted my downloads folder, but I can't finish my current project because the system won't let me save.",Storage,Medium,"Cleared system cache, identified a 40GB Adobe After Effects media cache folder, and moved older project assets to cold storage."
New Hire Access Setup,"We have a new hire joining on Monday. Please create their AD account, assign them to the Sales department group, and ensure they have access to the Salesforce platform.",Access Management,Medium,Created AD account and provisioned Salesforce license via O365 group provisioning.
Internet is super slow today,Everything is just loading really slowly today. Websites take forever to open. I'm connected via Ethernet in the accounting wing.,Network,Low,Identified a massive background update sync from the server room; throttled traffic to prioritize user browsing.
VPN connection failure - Error 807,"I am unable to connect to the corporate VPN from my home network. Every time I attempt to initiate the connection on my Windows 11 laptop, it hangs at 'Verifying credentials' and then throws Error 807. I have already restarted the Cisco AnyConnect client and rebooted my machine with no success.",Access Management,High,Reset the user's VPN profile on the gateway and updated the local certificate store to resolve the handshake timeout.
USB drive corruption,My flash drive stopped working after I pulled it out while it was still saving. Now Windows 11 says 'You need to format the disk in drive E: before you can use it'. Please don't tell me I lost everything.,Storage,Medium,Performed a low-level CHKDSK recovery on the partition table and successfully recovered 95% of the data using data recovery software.
Adobe Creative Cloud login loop,"Every time I try to launch Photoshop on my Windows 11 workstation, it prompts me to sign in, accepts my credentials, and then immediately boots me back to the sign-in screen. I have already cleared the OOBE and SLStore folders as suggested on the forums, but the issue persists. My machine ID is LPT-8842.",Application,Medium,Resolved by clearing cached credential tokens in Windows Credential Manager and reinstalling the Creative Cloud Desktop app.
Guest Wi-Fi portal not loading,"Hey! Heads up that the guest Wi-Fi captive portal isn't popping up for mobile users—everyone is getting stuck on ""Connected, No Internet."" We really need this squared away before the conference tomorrow. Thanks!",Network,Medium,Restarted the WLC controller service and flushed the DNS entries for the portal redirect URL.
Adobe Acrobat crashes on startup,"I am beyond fed up with Adobe Acrobat Pro DC. Every single time I try to open a PDF, the application crashes immediately. I’ve already wasted my time doing a full reinstallation of the entire Creative Cloud suite, and it didn't do a damn thing. I'm running Windows 11 Pro 22H2, and the Event Viewer is clearly pointing to the faulting module name: Acrobat.dll, version: 23.8.20470.0. Get this fixed, I have actual work to do.",Application,Medium,Performed a clean registry scrub using the Adobe Removal Tool and reinstalled the application using the enterprise MSI installer.
MongoDB primary node flapping,The primary node in our MongoDB 5.0 replica set is restarting intermittently. Error logs indicate a heartbeat timeout. This is causing significant application errors every few minutes.,Database,Critical,Investigated network stability between nodes; found a faulty NIC on the secondary node that was causing intermittent network drops. Replaced the NIC and performed a node failover to stabilize the cluster.
System slow after suspected malware,My computer has been incredibly slow since I accidentally clicked a link earlier. CPU usage for 'System' is pegged at 100%. I'm worried it's a crypto-miner.,Security,High,"Ran a full malware scan, removed a malicious browser extension, and restored system performance."
UPS Battery Warning,"The APC Smart-UPS 3000 in the server room is throwing a ""Battery Replacement Required"" error on the LCD again. The input voltage is perfectly stable at 120V, yet the unit is incessantly beeping and driving everyone crazy. I need this dealt with immediately.",Infrastructure,High,Scheduled maintenance window and replaced the hot-swappable battery cartridge; unit self-test passed.
Unrecognized File System on External Drive,My external USB drive shows up in Disk Management but it says the partition is 'RAW'. I have important client files on there. Is it possible to recover these?,Storage,Medium,Used CHKDSK /f to repair the file system metadata; data was successfully recovered and user was advised to run a backup.
Corrupted SQL database file,We are getting I/O errors on the SQL Server 2019 instance. The error log says 'SQL Server detected a logical consistency-based I/O error: incorrect checksum'. This is affecting our production order database.,Storage,Critical,Restored the database from the last valid transaction log backup and ran DBCC CHECKDB to confirm logical integrity; data access restored.
URGENT: Desktop icon moved,MY DESKTOP ICON MOVED TWO INCHES TO THE LEFT! EVERYTHING IS RUINED! THE STORAGE MAPPING IS PROBABLY CORRUPT! HELP ME IMMEDIATELY BEFORE THE WHOLE COMPANY COLLAPSES!,Storage,Low,Relocated desktop icon back to original position. Confirmed no actual storage mapping or file integrity issues existed.
User account locked out,"I am completely locked out of my PC again. I’ve only tried logging in twice with the correct password, and now it’s giving me an ""Account Locked"" error. This is incredibly frustrating and a total waste of my time. Please fix this immediately so I can actually get some work done.",Security,Low,Reset account lockout counter in Active Directory; identified a stuck background process on user's mobile device attempting to sync email with an old password.
Zoom audio echo,"Hi, people on my team calls keep complaining that they hear themselves echoing when I speak. I'm using a Jabra headset on my iMac M2. How do I fix this?",Application,Low,Adjusted the audio input sensitivity in the Zoom desktop client and updated the Jabra Direct firmware.
Rack A-02 Power Outage,The entire rack in A-02 is completely dead and the PDU is showing a 0A load. This is ridiculous—I’m almost certain the breaker in the facility room tripped. Fix this immediately.,Infrastructure,Critical,Reset the tripped circuit breaker in the PDU and load-balanced hardware to prevent recurrence.
Latency spikes during backups,"Every time the midnight backup runs, our application servers experience massive disk latency. Our storage controller CPU hits 99% usage. We need a better schedule.",Storage,Low,Adjusted backup jobs to run in staggered windows and enabled storage tiering to offload non-critical data.
High packet retransmission rates,Network dashboard shows high retransmission on the storage VLAN. It is unclear if the storage array is overloaded or the physical cabling is compromised.,Infrastructure,Medium,Identified and replaced a damaged Cat6a patch cable causing physical layer signal degradation.
Cloud storage bucket permissions,"We are receiving '403 Forbidden' errors when our application attempts to push log files to the S3 bucket 'prod-logs-storage'. We verified the IAM role has 's3:PutObject' permissions, but it's still failing.",Storage,High,Corrected the bucket policy which was inadvertently blocking access from the VPC endpoint.
Performance degradation after migration,"Ever since we migrated from SQL Server 2016 to 2022, the report generation service is incredibly slow. We are getting timeouts on the report_gen_sp procedure. Everything worked fine yesterday before the upgrade.",Database,High,Updated statistics on the affected tables and forced a plan recompile for the stored procedure to utilize the new Cardinality Estimator.
Site-to-site VPN tunnel down,The site-to-site tunnel between the NY and London offices dropped at 03:00 UTC. Phase 1 IKE negotiation is failing with an authentication timeout. No configuration changes were made on our side.,Network,Critical,Renewed expired SSL/TLS certificates on the London branch firewall.
Unable to export data to CSV,"Every time I try to run the export tool on the web interface, it just spins for a minute and then returns a 500 error. The logs say 'Memory limit exceeded'.",Database,Medium,Optimized the SQL export query to use a cursor-based fetch instead of loading the full result set into memory.
UPS Battery Warning - Server Room B,The APC Smart-UPS 3000 in Server Room B is throwing an 'Replace Battery' alert on the front LCD. SNMP traps are flooding the monitoring dashboard with error code 0x02. Please schedule a replacement before the next power test.,Infrastructure,High,Scheduled physical maintenance; replaced internal lead-acid battery cartridge.
New monitor setup,"Hi, I just moved desks and my monitor won't connect to the docking station. It's an older Dell display, and I've tried both HDMI and DisplayPort cables. Nothing is appearing on the screen.",Infrastructure,Low,Updated the Thunderbolt docking station drivers and configured the display settings via Intel Graphics Command Center.
External USB drive not recognized,"My Seagate 2TB drive isn't showing up in File Explorer when I plug it into my Dell Latitude. It worked yesterday, but now it just clicks repeatedly when I connect it to the USB 3.0 port.",Storage,Medium,Diagnosed as hardware failure of the drive head; advised user to contact a data recovery specialist as the drive was physically unresponsive.
USB stick formatted by accident,I accidentally clicked format on my 64GB Kingston USB drive. It had all my project assets on it. Please tell me you can get them back!,Storage,Medium,Ran data recovery software on the unallocated space of the drive and successfully recovered the file structure.
Adobe Acrobat Pro Licensing Issue,"Hey, I keep getting a 'Licensing Service Not Available' error when trying to open PDFs. I'm on Windows 11 and re-signed into Creative Cloud, but it didn't help. This is blocking my document review process.",Application,High,Performed a clean re-installation of the Adobe Creative Cloud desktop app and reset the local licensing token file.
Lost password,I forgot my network password. Can you reset it?,Access Management,Medium,Verified identity via manager and performed a forced password reset on the domain controller.
Lost my YubiKey,"I am writing to formally report the loss of my assigned hardware security key. Please provide instructions on the procurement process for a replacement device and the necessary procedures to revoke the credentials of the lost key from my account. As this device is essential for accessing internal systems, I request that this matter be prioritized to restore my ability to perform my professional duties.",Access Management,High,Deactivated the lost hardware key in Okta and provided the user with a temporary bypass code until a replacement arrives.
SQL Server connection timeout on App-Prod-01,We are seeing intermittent 0x80004005 errors when the web front-end attempts to connect to the SQL Server 2019 instance. This started after the maintenance window last night. The app server is running Windows Server 2022.,Database,High,Increased the connection pool size in the web.config and restarted the IIS application pool.
BitLocker recovery screen,"My laptop (Dell Latitude 5420) is stuck at the BitLocker recovery screen every time I boot up. It's asking for a 48-digit recovery key that I don't have. I have a meeting in 10 minutes, this is a disaster!",Security,High,Retrieved the recovery key from Azure AD device management and provided it to the user. Suggested a firmware update to prevent future boot loops.
Guest WiFi login page not appearing,"The guest WiFi is completely broken on mobile devices. Instead of the redirect page actually appearing, users are just hit with a ""connection not private"" error every single time they try to log in. This is incredibly frustrating and needs to be fixed immediately.",Network,Medium,Updated the SSL certificate on the captive portal gateway which had expired.
Slow data retrieval for dashboard,"Dashboard takes 30+ seconds to load. We aren't sure if the network latency is high between the app server and DB, or if an index is missing.",Database,Medium,Added missing non-clustered index on the primary table to reduce read time.
Wi-Fi is super slow in the lobby,"Hey, the guest Wi-Fi in the lobby has been unusable for the last hour. My phone connects but I can't load a single webpage. Is the AP down?",Infrastructure,Low,Rebooted Lobby-AP-04; the device had cached old DHCP leases and was failing to assign new addresses.
BitLocker recovery screen on boot,My Dell Latitude 5420 is completely useless right now because it's stuck on a BitLocker recovery screen immediately after the BIOS post. It’s demanding a 48-digit recovery key that I don't have and was never provided. I need this resolved immediately; I cannot afford to be locked out of my machine any longer.,Security,High,Retrieved recovery key from Azure AD portal and successfully unlocked the drive. Performed a 'manage-bde -protectors -adbackup' to ensure future recovery keys are synced.
Esxi host disconnected from vCenter,"Host esxi-prod-04 has dropped from the vCenter inventory. I'm seeing 'Host not responding' errors in the dashboard. Physical power is on, but management IP is unreachable via SSH.",Infrastructure,Critical,Physically reseated the management NIC; restarted the management agents (services.sh) on the host.
Visual Studio 2022 project build failure,"I am getting a 'Metadata file could not be found' error when building my solution. It works fine for my colleague, but fails on my machine every single time.",Application,Medium,Removed the hidden .vs folder in the solution directory and performed a clean build.
SaaS Application Login Loop,"I am beyond frustrated—I cannot get into Salesforce at all because I’m stuck in a constant, infinite redirect loop. I’ve tried both Chrome v124 and Edge, but it’s the same broken mess on both. It’s painfully obvious that my session token isn't being parsed correctly by the IDP, and I need this fixed immediately so I can actually get back to work.",Access Management,High,"Cleared the browser cookies and cache, then performed a forced sync between Okta and the Salesforce integration app."
VPN connection failing with Error 809,"I am completely unable to connect to the VPN from home because Cisco AnyConnect keeps hitting me with Error 809. I’ve already wasted my time restarting my router and fully updating my Windows 11 machine, but the tunnel still refuses to establish. This is unacceptable and I need this fixed immediately—I have to access the shared drive by EOD.",Network,High,"Modified client-side registry settings to allow UDP encapsulation for NAT-T, resolving the blocked IKEv2 traffic."
Cloud storage sync error,"OneDrive is stuck on 'Processing changes'. I've cleared the cache and restarted the client on my MacBook Pro running macOS Sonoma, but it won't sync my Documents folder. Getting error code 0x8004de40.",Storage,Low,Reset the OneDrive sync engine via the terminal and re-authenticated the user session; sync restored.
Phishing simulation alert for user j.doe,"User j.doe clicked a link in a suspicious email titled 'Urgent: Payroll Adjustment' while using Windows 10 Pro. The email redirected to an external domain that mimicked our O365 login page. Antivirus blocked the secondary script execution, but the user may have entered credentials.",Security,High,"Reset user password, forced MFA token re-enrollment, and ran a full EDR scan on the device. No lateral movement detected."
Need access to production db for audit,"Hi, I am working with the internal audit team and we need read-only access to the production 'Finance' schema. Please let me know what the process is for requesting this level of access.",Database,Low,Provided temporary read-only credentials with a 24-hour expiration after manager approval.
Forgotten MFA device,"Hey, I’m traveling for a conference and realized I left my security key back at the office. I’m currently locked out of my email—any chance you can help me get access? Really need to check my inbox before tomorrow’s meeting.",Security,Medium,Verified identity via manager approval and issued a temporary bypass code valid for 4 hours.
Update DB collation,We need to update our collation from SQL_Latin1_General_CP1_CI_AS to Latin1_General_100_CI_AS_SC to support new emoji characters in user comments. Please advise on the downtime required for this migration.,Database,Low,Provided a maintenance window plan and a script to perform the column-level collation change during off-peak hours.
Core Switch Uplink Failure - Rack 4,"We are experiencing intermittent packet loss on the primary uplink of the Cisco Catalyst 9500 switch in Rack 4. Port TenGigabitEthernet1/0/49 is flapping status every 15 minutes, causing latency spikes for the entire floor. Interface logs show 'ERR_DISABLE' due to excessive CRC errors.",Infrastructure,Critical,Replaced the SFP+ transceiver and patched a new OM4 fiber cable; error count has stabilized.
NFS mount timeout on production web server,"Our web server (srv-prod-04, Ubuntu 22.04) is experiencing intermittent NFS timeouts when accessing the shared NAS volume. The logs show 'nfs: server 10.0.5.20 not responding, still trying' every few minutes. This is causing significant latency for our file-upload service.",Storage,High,Increased the NFS read/write buffer sizes in /etc/fstab and verified the MTU settings on the storage controller to resolve packet fragmentation.
Account locked out - multiple failed attempts,"My domain account is locked again. I tried logging into my workstation (WS-992) running Windows 11 but got error code 0x80090006. I haven't changed my password recently, so I have no idea why it keeps failing.",Security,Medium,Reset AD account lockout status and performed a credential clear on the local machine; user advised to check for saved credentials in Credential Manager.
Disk space alert on DB-Cluster-02,The monitoring system alerted that the /var/lib/mysql partition on DB-Cluster-02 is at 94% capacity. We need to clear some logs or expand the volume before the service crashes.,Database,High,Purged binary logs older than 7 days and expanded the EBS volume by 100GB.
User account locked out,I can't log in to my PC. It keeps saying 'Account Locked' after I tried entering my password twice. I am definitely using the right password. Please fix this.,Security,Low,Reset account lockout counter in Active Directory; identified a stuck background process on user's mobile device attempting to sync email with an old password.
User account compromise suspected,We are seeing successful login attempts for user 'jdoe' from an IP address in a country where we have no operations. The logs show massive file access within SharePoint immediately after the login.,Security,Critical,"Disabled user account, invalidated all OAuth tokens, and initiated an incident response forensic investigation."
Unable to connect to Mongo Atlas,"I am writing to formally report a persistent technical issue regarding our MongoDB cluster. Despite repeated attempts to establish a connection via MongoDB Compass, I am consistently encountering a ""connection refused"" error. Please be advised that I have already verified my configuration, and my current home office IP address is correctly included in the authorized whitelist. For your reference, this issue is occurring on a device running macOS Monterey. Please investigate this matter with urgency, as it is currently impeding my ability to perform required database operations.",Database,Low,Found that the user's ISP had rotated their public IP address; updated the whitelist in the MongoDB Atlas dashboard.
Printer offline,The department printer in Building B is showing offline again. Can someone come reset the static IP? It happens every time we have a power flicker.,Network,Low,Assigned a DHCP reservation for the printer's MAC address to prevent future IP conflicts.
GitLab access request,Requesting access to the 'mobile-app-frontend' repository for our new intern. They need read-only access to view the codebase.,Access Management,Low,Added the user to the 'interns-read-only' GitLab access group.
Minor icon change on desktop,MAYDAY! MAYDAY! THE NETWORK ICON ON MY TASKBAR CHANGED FROM BLUE TO GREY! THE SYSTEM IS COLLAPSING! SEND AN IT ENGINEER TO MY DESK THIS SECOND OR THE WHOLE DEPARTMENT WILL COLLAPSE!,Network,Low,Updated network driver and confirmed stable connection.
Drive failure in RAID array,"This is to formally report a critical hardware failure regarding server SRV-PROD-04. The storage controller is currently emitting an audible alert, and the management console indicates that Disk 3 within the RAID 5 array has transitioned to a ""Failed"" status. Please initiate an urgent onsite service request to replace the defective drive immediately to prevent potential data loss or further array instability.",Storage,High,Physically swapped the faulty drive and initiated a RAID rebuild which completed successfully after 4 hours.
WiFi is slow again,Can someone look at the access points in the lobby? Guests are complaining that the internet is crawling. My laptop shows a strong signal but we are getting < 2Mbps throughput on the 5GHz band.,Infrastructure,Low,Identified high channel interference; adjusted AP power levels and moved to non-overlapping channels 36 and 149.
Switch port flapping,"Port 24 on Switch-Floor-3 is flapping constantly. The logs show '%LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/24, changed state to down'. It's impacting several users in the front office.",Network,High,Replaced the damaged Cat6 cabling run between the wall jack and the desk.
EMERGENCY: NEED HELP RIGHT NOW OR I WILL BE FIRED,"Hi, I was wondering if you could help me change the font color in the query result window to something a bit more aesthetic? It's just a personal preference for my daily reports.",Database,Low,Guided user through the IDE settings menu to change the result set UI theme.
Slow VPN speeds,It's super slow today. My RDP session to the file server keeps lagging out. Is the firewall saturated? I'm on Windows 11 and using the latest Cisco AnyConnect client.,Infrastructure,Low,Identified high bandwidth utilization from a backup job; rescheduled backup to off-peak hours.
Need root access on dev box,I need sudo privileges on server 'LINUX-WEB-04' to install some dependencies. Can you elevate my account? My username is j.doe.,Access Management,Medium,Denied request per security policy. Instructed user to submit a ticket for the specific package installation via the DevOps team.
Slow read/write speeds on SAN,We are experiencing significant latency on the primary database cluster. Latency is spiking over 200ms during peak hours. Our Linux VMs are reporting I/O wait times that are killing application performance.,Storage,High,Identified a noisy neighbor VM consuming IOPS; implemented QoS policies on the SAN fabric to throttle the offending workload.
VPN connectivity issues,"Hey, I can't seem to connect to the office network via Cisco AnyConnect on my Windows 11 machine. I keep getting 'Connection attempt failed due to server certificate validation error'. Super annoying.",Infrastructure,Medium,Updated the root certificate store and reinstalled the VPN client profile; connectivity restored.
Cannot map network drive Z:,"I just logged in to my Windows 11 machine and my Z: drive is missing with a red X. It says the network path was not found. Please fix this quickly, I have a deadline.",Network,Medium,Cleared stale SMB sessions on the file server and re-mapped the drive via Group Policy.
Disk space alert on production cluster,Partition /var/lib/mysql is at 98% capacity. Automated backups are failing to trigger due to lack of space. Please clear temp files or expand the volume immediately.,Database,Critical,Purged binary logs older than 7 days and expanded the LVM partition by 50GB.
URGENT: Production DB down,The entire database is unresponsive! Users are getting login failures and the dashboard is blank. It was working fine ten minutes ago. Fix this now!,Database,Critical,Identified a memory leak in a stored procedure that caused the SQL process to hit the max server memory limit; restarted the SQL Server service and purged the procedure cache.
Account Disabled,"My account is disabled! I can't log into my laptop or email. I have a meeting in 10 minutes, please help!",Access Management,Critical,Account was disabled by mistake during a bulk cleanup script. Re-enabled and restored group memberships.
MFA Loop,"I'm stuck in an endless MFA loop on my iPhone 14 when trying to access the Azure portal. It keeps asking for the authenticator code, and after I enter it, it redirects me right back to the sign-in page. Very annoying.",Access Management,High,Unregistered and re-registered the user's device in the Azure MFA portal.
Account lockout after failed VPN attempts,"My account keeps locking out every time I try to connect to the GlobalProtect VPN on my Windows 11 laptop. I’ve checked my credentials and they are correct, but the event viewer shows event ID 4625 for multiple failed attempts. Please reset my account status and investigate the sync error.",Security,Medium,Cleared cached credentials in Windows Credential Manager and performed a manual sync with the Active Directory domain controller.
LUN masking visibility issue,"Hey, we just added a new Linux host to the fabric, but it’s not picking up its LUNs. The zoning looks solid on the Brocade switches, but the storage array isn't seeing the HBA's WWN as logged in. Any ideas?",Storage,High,Corrected the zoning configuration by adding the missing WWN alias to the specific fabric zone.
Chrome plugin broken,The internal password manager extension is greyed out. It won't let me click the icon to sign in. It was working yesterday just fine.,Application,Low,"Updated Chrome to the latest version, which resolved an incompatibility issue with the current extension manifest v3."
Suspicious phishing email reporting,"I received an email from an external address pretending to be the HR department asking for payroll verification. It includes a suspicious link to a non-company domain. I haven't clicked anything, but wanted to report it to security.",Security,High,"Verified the email as a phishing attempt, blocked the sender domain on the mail gateway, and purged the message from the user's inbox."
Need permissions for Excel Add-in,"Every time I try to run the Finance Add-in in Excel, I get a message saying I need admin privileges to authorize the script. Can you help me fix this so I don't have to call IT every time?",Access Management,Low,Whitelisted the specific Add-in manifest file in the organization's Microsoft 365 Admin Center.
External drive not detected,"I plugged in my WD My Passport drive to copy some files, but my laptop doesn't show it in File Explorer. The light on the drive is blinking, but Disk Management just shows it as 'Unknown/Not Initialized'.",Storage,Medium,Assigned a new drive letter and updated the USB mass storage driver in Device Manager.
Database connection timeout,"Heads up, the internal BI dashboard is timing out after 30 seconds. Looks like a backend issue, just flagging it now before the users start flooding us with tickets.",Application,High,Increased the SQL query timeout threshold on the application server connection string.
Slack notifications not appearing,"I'm not getting any push notifications on my Slack app. I've checked my system settings and the Slack internal settings, but they seem fine. Running on Windows 10.",Application,Low,Re-registered the Windows Notification Service (WNS) and verified that Slack is allowed to run in the background.
Restoration request for dev-db,Accidentally dropped a table in the development environment. Can you restore it from last night's backup? It's the 'user_prefs' table.,Database,Medium,Restored the 'user_prefs' table from the 02:00 UTC snapshot to a temporary schema and instructed the developer to perform the data migration.
Data Loss Prevention alert triggered,"System flagged me for uploading a spreadsheet to a cloud drive. It was just an internal project plan, why is the DLP policy blocking this?",Security,Medium,Reviewed DLP rule violation and updated the sensitivity label on the file to prevent further false-positive blocks.
Database connection error in proprietary software,"Getting 'Error 0x80040E4D: Login failed for user' when opening the Inventory Management Tool. I verified my credentials, and they work on the web portal. Please investigate.",Application,High,Reset the user's password in Active Directory and force-synced the identity provider with the local database server.
Office printer offline,"The big Xerox copier on the 3rd floor is offline again. It says 'Network Error' on the screen. I've tried rebooting it, but that didn't help.",Infrastructure,Medium,Corrected an IP address conflict; assigned a static reservation in the DHCP scope to prevent the printer from grabbing an existing address.
Permission error on DB access,Why can't I write to the marketing database anymore? I keep getting 'Access denied for user 'data_analyst' at host '10.0.4.15''. It was working perfectly yesterday.,Database,Medium,Re-granted the missing UPDATE and INSERT privileges to the user role after a security audit mistakenly revoked them.
Slow read/write speeds on shared network drive,"I am writing to formally report persistent performance degradation affecting the Z: drive, which has resulted in significant latency and operational inefficiencies for end users. Accessing even small Microsoft Excel files requires an unacceptable amount of time, indicating a critical service impairment. Our internal diagnostics confirm that the infrastructure is running on Windows Server 2019, and there is a direct correlation between these latency spikes and the execution of the scheduled daily incremental backup task. Please investigate this matter with urgency, as the current state of the shared drive is impeding standard workflow.",Storage,Medium,Adjusted the QoS policy on the network switch and rescheduled the backup window to off-peak hours to reduce I/O contention.
Disk space full on File Server,"I am writing to formally report that the E: drive on server FS01 has reached 98% capacity, resulting in the continuous generation of Event ID 2013 alerts. Please advise whether an expansion of the LUN size can be facilitated to remediate this issue, or if immediate manual intervention is required to purge system logs to restore adequate storage space.",Storage,Medium,Expanded the underlying LUN by 500GB via the SAN console and extended the volume in Disk Management.
External site blocked,I need access to specific documentation on an external portal but our firewall is blocking it with a 'Category: Malicious Content' message. Can you whitelist it?,Infrastructure,Low,Verified site reputation and added the FQDN to the firewall bypass list for the marketing department VLAN.
Incorrect capacity reporting,"The web interface says the storage pool is 90% full, but the individual volumes only total 40% usage. Is there a hidden snapshot bloat or metadata error? It's been like this for three days.",Storage,Medium,Performed a filesystem check (fsck) to prune orphaned snapshot blocks that were not being reported in the main UI.
Minor latency on secondary backup drive,"I've noticed that file transfers are taking about 3 seconds longer than usual. It's not a big deal at all, please look at it whenever you have a free moment next week.",Storage,Critical,Investigated storage array; identified a failing disk controller causing cache latency. Replaced controller and performed data parity check.
Office lights are flickering,I think this is an IT issue? The lights above my cubicle are blinking. Could this be related to the power surge we had earlier?,Infrastructure,Low,Directed ticket to Facilities department; identified as a failing ballast in the overhead fluorescent lighting.
Adobe CC license error,"I keep getting a pop-up saying 'License expired' when I launch Photoshop. I am logged into my company account, but it doesn't seem to sync the license from the Creative Cloud portal.",Access Management,Low,"Logged the user out of the Adobe desktop application, cleared the OOBE cache folder, and logged back in to refresh the license."
UPS Battery Warning,"APC Smart-UPS 3000 in the server room is reporting 'Battery Replacement Required' on the LCD. Input voltage is stable at 120V, but the unit is beeping intermittently.",Infrastructure,High,Scheduled maintenance window and replaced the hot-swappable battery cartridge; unit self-test passed.
Cannot reach external website,"My browser is returning a connection timeout when I try to visit our external cloud accounting software. I can reach Google fine, so I know the internet is up. It’s just this specific URL.",Network,Low,White-listed the cloud provider's new IP range on the edge firewall.
Intermittent packet loss on VLAN 20,Users in the Finance department are reporting jittery VoIP calls and slow application performance. Running a continuous ping to the gateway shows about 15% packet loss. This has been going on since 9:00 AM.,Network,Critical,Discovered a failing SFP+ transceiver on the distribution switch causing CRC errors; replaced the module and verified fiber link stability.
Users disconnected from remote desktop application,Remote staff are being kicked out of the virtual desktop environment with a 'Connection Lost' error.,Network,Critical,Adjusted firewall session timeouts that were terminating idle VDI connections prematurely.
Guest Wi-Fi is down,"Our visitors are completely unable to connect to the Guest network. They’re stuck staring at the splash page, and the authentication fails every single time they try to log in. This is becoming a major issue, so please get it fixed immediately.",Infrastructure,Low,Restarted the WLC authentication service which had stopped responding; guest portal is now successfully issuing tokens.
VPN connection dropping repeatedly,My Cisco AnyConnect client keeps disconnecting every 10-15 minutes while I'm working from home. I am running Windows 11 and getting the error message 'The VPN connection has been interrupted'. It's making it impossible to finish my reports on time.,Network,High,Updated the AnyConnect client to version 4.10 and cleared the local DNS cache to resolve intermittent tunnel timeouts.
BitLocker recovery screen loop,My laptop (Dell Latitude 5420) is stuck on the BitLocker recovery screen after a BIOS update. I don't have the recovery key handy. I need this fixed ASAP as I have a client demo in an hour.,Security,Critical,Retrieved BitLocker recovery key from Intune device management console and successfully bypassed the prompt to restore Windows boot environment.
Request for updated calendar icon,THIS IS AN EMERGENCY. MY CALENDAR ICON IS SLIGHTLY BLURRY ON MY MONITOR AND IT IS CAUSING ME EXTREME PSYCHOLOGICAL DISTRESS. I AM UNABLE TO WORK UNTIL THIS IS RESOLVED. PLEASE HELP!!,Application,Low,Cleared the icon cache and refreshed the desktop shortcut.
Unauthorized MAC address alert,"The IDS flagged an unknown device connected to the production switch port Gi0/14. I am currently away from the office, but please investigate immediately. This looks like a potential security breach.",Network,Critical,Physically traced the cable to an unmanaged hub installed by a user under their desk; removed the hub and disabled the port via switch management.
Issue with MFA prompt,"My Authenticator app on my iPhone 15 isn't showing the push notification for Microsoft 365 logins. I've restarted the phone and reinstalled the app, but no luck.",Access Management,Medium,Removed the device from the user's MFA settings in Azure AD and prompted for a re-enrollment flow.
